sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-10-01;189,32;189,38;191,00;192,46;188,94;190,08;190,29;4095376;779320419,71;11108;
2019-09-30;190,80;190,84;192,00;192,24;190,34;190,84;191,018;2874394;549246781,35;8281;
2019-09-27;192,20;192,30;189,50;194,86;189,36;192,06;192,493;2962613;570308464,79;8518;
2019-09-26;189,10;189,20;187,28;189,76;186,94;189,12;189,042;1640310;310083908,05;5267;
2019-09-25;187,86;187,88;187,34;187,90;185,74;187,70;186,91;2916442;531685853,23;6177;
2019-09-24;187,86;187,94;187,00;188,50;186,58;187,34;187,472;2194437;410196509,12;4584;
2019-09-23;186,20;186,26;188,86;188,90;185,22;186,50;186,512;2664389;495475922,82;7211;
2019-09-20;189,50;189,56;189,82;190,50;188,52;189,02;189,185;3909797;739685235,39;6472;
2019-09-19;189,20;189,30;187,20;189,48;186,96;189,12;188,752;2764735;521853417,29;7126;
2019-09-18;187,42;187,50;185,90;187,80;185,54;187,20;187,016;1602646;299719161,46;3951;
2019-09-17;186,18;186,24;185,10;188,64;184,66;185,90;186,523;3409944;635998069,22;8535;
2019-09-16;184,30;184,36;187,00;188,06;182,86;184,90;185,159;5500942;1018574132,93;14550;
2019-09-13;189,86;189,96;189,62;190,26;187,92;190,24;189,611;2639865;500526535,35;6935;
2019-09-12;189,36;189,46;188,66;190,14;187,68;189,62;189,10;4247552;803198378,37;10076;
2019-09-11;188,14;188,20;193,28;193,28;187,90;188,48;189,926;3227760;613075590,31;9004;
2019-09-10;192,50;192,58;188,82;192,90;188,82;192,90;191,856;3888527;746062211,36;10209;
2019-09-09;188,80;188,86;191,10;191,70;188,20;189,00;189,575;2515095;476825174,23;6826;
2019-09-06;190,92;191,00;187,84;191,44;187,32;191,10;190,157;3156040;600182626,31;8161;
2019-09-05;187,22;187,30;186,48;187,76;184,00;187,38;186,319;3013618;561490289,01;8561;
2019-09-04;185,48;185,60;187,54;188,32;185,02;185,54;186,439;2255279;420442299,23;6797;
2019-09-03;185,92;186,02;185,00;186,44;180,40;186,44;184,916;2915368;539054770,16;8744;
2019-09-02;185,82;185,92;187,82;188,64;185,56;186,06;186,563;2015729;376051159,38;6931;
2019-08-30;187,26;187,32;187,50;191,10;186,54;187,98;188,577;3661595;690512760,14;10885;
2019-08-29;187,46;187,52;188,24;190,10;183,90;187,46;187,558;4901525;919311016,4;14329;
2019-08-28;188,70;188,80;185,64;189,48;185,02;188,24;188,14;7585788;1427083941,66;18054;
2019-08-27;180,60;180,68;180,20;180,94;178,42;180,30;180,167;2271539;409264889,24;5229;
2019-08-26;180,40;180,48;176,26;180,80;175,62;179,98;179,03;2906243;520272129,59;8650;
2019-08-23;178,02;178,10;179,30;180,92;177,62;177,94;179,136;2956511;529663842,91;9378;
2019-08-22;178,60;178,70;177,68;180,38;177,10;178,66;178,852;3763203;672745828,64;9506;
