sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-07-04;150,35;150,40;150,00;151,45;150,00;150,70;150,799;1722378;259730716,26;3541;
2019-07-03;150,30;150,35;150,40;151,80;150,00;150,45;150,776;2492250;375772277,53;4766;
2019-07-02;150,60;150,70;150,60;151,65;149,85;150,80;150,658;3238901;487964373,88;5951;
2019-07-01;150,45;150,50;149,45;151,40;149,30;150,75;150,797;5824204;878339322,11;9573;
2019-06-28;146,80;146,90;146,60;147,35;145,55;147,35;146,917;4410526;647859821,18;6294;
2019-06-27;146,20;146,30;147,00;147,95;145,05;146,60;146,509;3786731;554796130,56;6630;
2019-06-26;146,40;146,45;146,00;147,45;145,00;146,10;146,323;3175464;464699068,23;5192;
2019-06-25;146,65;146,75;146,05;147,40;145,90;146,40;146,551;3248958;476086128,46;5299;
2019-06-24;146,50;146,60;149,00;149,75;146,35;146,35;147,339;4582874;675040841,58;7027;
2019-06-20;149,20;149,30;147,50;150,00;146,90;149,45;149,19;7907311;1179697513,47;12134;
2019-06-19;145,60;145,70;145,05;146,70;144,90;146,00;145,973;4358571;636226999,84;6860;
2019-06-18;144,15;144,20;140,90;144,70;139,05;144,55;142,894;5857632;837307430,45;8494;
2019-06-17;140,80;140,90;140,95;141,20;139,75;140,65;140,507;3092700;434679143,94;4817;
2019-06-14;140,80;140,85;141,00;141,05;138,85;140,95;140,294;4020832;564043063,68;6424;
2019-06-13;140,50;140,55;140,65;141,40;139,90;141,00;140,815;4805761;676714885,69;7354;
2019-06-12;141,00;141,10;141,25;142,25;139,95;140,95;140,813;4681606;659245607,56;7319;
2019-06-11;141,75;141,85;140,55;142,95;140,55;142,15;142,256;4446871;632610968,23;6597;
2019-06-10;139,60;139,70;138,90;140,75;138,90;139,65;139,902;3151358;440891220,81;4916;
2019-06-07;138,00;138,10;135,90;139,05;135,70;138,20;137,986;4995152;689274257,03;7644;
2019-06-05;135,20;135,35;136,00;136,10;134,25;135,45;135,224;5123383;692804493,91;8393;
2019-06-04;136,25;136,35;133,70;136,65;132,20;136,45;135,55;5429024;735913441,67;8788;
2019-06-03;133,55;133,60;132,00;133,75;130,95;133,75;132,472;5381859;712889411,43;7819;
2019-05-31;132,90;132,95;134,00;135,50;131,35;132,75;132,428;7036782;931833727,89;11666;
2019-05-29;135,85;135,90;136,80;136,80;135,20;135,50;135,74;1999004;271347731,6;3506;
2019-05-28;137,35;137,40;136,65;138,00;135,80;138,00;137,736;9345176;1287107818,26;6919;
2019-05-27;135,95;136,00;138,00;138,60;135,25;136,15;136,264;2528834;344578107;5312;
2019-05-24;136,90;137,00;136,15;137,90;136,10;137,25;137,182;4572260;627200496,93;7607;
2019-05-23;135,30;135,40;137,30;137,40;135,20;135,20;135,93;5207930;707781280,95;8975;
2019-05-22;138,25;138,30;140,55;140,90;137,95;138,60;138,802;3382460;469493511,98;6161;
2019-05-21;140,25;140,30;138,55;140,65;138,45;140,50;140,118;5380906;754030789,03;7379;
2019-05-20;137,85;137,90;141,30;141,30;137,00;138,00;138,496;3972824;551385893,12;7102;
2019-05-17;141,15;141,20;142,80;143,15;140,05;141,55;141,058;4418324;623240356,36;8195;
2019-05-16;142,60;142,70;142,00;143,05;140,45;143,05;142,104;4005617;569252560,9;7521;
2019-05-15;141,15;141,20;141,65;141,70;138,85;141,70;140,344;4938555;693032980,22;8641;
2019-05-14;140,50;140,55;137,90;140,65;137,60;140,40;139,623;4848584;676950458,07;8820;
2019-05-13;136,60;136,70;140,05;140,40;136,30;136,55;137,189;4333878;594598419,51;7288;
2019-05-10;139,70;139,75;141,40;142,20;138,95;140,05;140,219;4119310;577616303,44;7680;
2019-05-09;139,60;139,65;141,95;141,95;139,55;140,00;140,603;4127228;580322431,91;7386;
2019-05-08;142,85;142,95;140,70;143,45;140,60;143,45;142,41;5543699;789446955,77;9398;
2019-05-07;140,55;140,65;145,50;145,60;140,40;141,00;142,121;8042238;1142975416,23;13674;
2019-05-06;145,70;145,80;145,00;145,75;143,10;145,70;144,404;5177819;747680705,73;10013;
2019-05-03;149,20;149,25;149,75;150,40;148,85;148,90;149,303;4135719;617507962,93;8525;
2019-05-02;149,40;149,50;152,00;152,40;148,35;149,75;150,231;5880342;883422423,39;10183;
2019-04-30;151,75;151,85;152,45;153,15;151,50;152,00;152,194;2295323;349337299,21;3930;
2019-04-29;152,45;152,55;152,50;153,55;151,70;152,80;152,544;3715599;566810025,2;6929;
2019-04-26;152,00;152,10;154,00;154,00;151,70;152,50;152,567;3865616;589787606,86;6697;
2019-04-25;152,90;153,05;152,55;155,00;152,25;153,00;153,71;6739953;1035717944,21;13077;
2019-04-24;152,00;152,10;150,80;154,55;148,20;152,00;151,858;10608069;1610842350,11;19131;
2019-04-23;148,00;148,10;150,00;150,00;147,65;147,75;148,073;5654242;837187193,07;9056;
2019-04-18;150,25;150,30;148,35;151,25;147,75;150,00;149,604;3426730;511841472,93;5487;
2019-04-17;148,15;148,25;147,00;148,90;146,85;148,40;148,15;4839722;716934901,03;7575;
2019-04-16;146,95;147,05;146,60;147,70;146,50;147,15;147,086;3724861;547810094,19;5216;
2019-04-15;146,65;146,75;147,10;147,45;146,20;146,50;146,628;3617481;530407818,88;6197;
2019-04-12;146,95;147,05;145,10;147,85;144,95;147,10;146,967;4350081;639399674,19;6662;
2019-04-11;145,45;145,50;144,75;146,10;144,30;145,10;145,263;3572596;518949132,22;6694;
2019-04-10;144,50;144,55;143,50;145,40;143,20;144,55;144,412;5343555;771733967,88;10584;
2019-04-09;143,60;143,65;144,70;146,00;143,05;143,25;144,181;5094559;735322254,65;8265;
2019-04-08;145,45;145,55;145,70;145,80;144,30;145,30;145,069;5116372;742101624,17;8174;
2019-04-05;146,20;146,25;143,50;146,30;143,50;145,80;145,311;5226952;759552204,7;9067;
2019-04-04;142,95;143,05;142,50;143,70;141,15;143,50;142,643;8700328;1237062572,01;13123;
2019-04-03;152,85;152,90;150,70;153,35;149,90;153,35;152,319;8816500;1342175484,47;15409;
2019-04-02;149,50;149,60;150,05;151,00;148,75;149,30;149,821;9862571;1477630802,85;16888;
2019-04-01;148,32;148,34;146,30;148,50;146,08;148,46;147,461;8593251;1267092066,88;17169;
2019-03-29;143,95;144,05;142,05;145,00;141,75;144,00;143,96;7686613;1106592193,91;13241;
2019-03-28;141,55;141,65;139,35;141,85;139,00;141,15;140,875;6790979;956664599,44;12830;
2019-03-27;139,40;139,50;136,90;140,50;136,70;139,35;139,44;9157782;1277115897,42;14779;
2019-03-26;136,00;136,10;133,95;136,15;132,95;135,80;135,096;6725760;908624189,53;11137;
