Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2021-09-29;295,8;295,9;294,9;298,4;294,7;295,4;296,342;1356387;401941387,9;4457
2021-09-28;294,5;294,7;298,9;299,9;292,6;294,2;295,05;1148281;338817133,3;5057
2021-09-27;300,6;300,8;303,8;304,4;298,2;300,9;300,485;928563;279019975,3;3377
2021-09-24;302,9;303;307,2;307,2;301,1;302,7;303,352;1282468;389043203;4220
2021-09-23;308,6;308,8;308,4;309,7;306,9;308,8;308,422;1148721;354290659,6;4180
2021-09-22;304,7;304,8;303,5;306,4;302,1;305;304,31;1822103;554474571,6;5052
2021-09-21;302,5;302,7;300;307,7;299,8;302,4;305,055;1895629;578189839,7;5920
2021-09-20;301,7;301,9;304,7;304,7;300,2;301,2;301,975;1557097;469952562,8;5225
2021-09-17;310,8;311;316,3;317,6;310,3;310,3;314,004;763269;239678575,9;2490
2021-09-16;315,1;315,2;313,3;317,2;313,3;314,8;315,666;729170;230173357,1;2616
2021-09-15;313;313,2;315,6;317;312,6;312,8;313,965;768920;241418542;2929
2021-09-14;316,7;316,9;316,1;317,6;314,4;317,1;316,253;668367;211370612,3;3005
2021-09-13;316,1;316,3;316,9;319,6;316;316,1;317,722;666266;211694689;3781
2021-09-10;316,6;316,8;315,9;319,1;314,9;316,8;317,375;437004;138695096,3;1907
2021-09-09;314,9;315,1;313;317,3;312,5;314,9;315,61;1347231;425212347,4;5548
2021-09-08;314,4;314,5;316,1;316,8;313,4;314,7;314,982;1110990;349946243;3676
2021-09-07;318;318,2;322,2;322,2;317,5;317,6;318,838;944624;301175696,2;3403
2021-09-06;322,3;322,5;322,3;323,5;321,6;322,8;322,711;612527;197669464,8;2665
2021-09-03;320,8;321;322;323;319,9;321,2;321,533;835448;268620104,6;3527
2021-09-02;321,9;322,1;320;322,8;320;322;321,999;609872;196378946,3;2487
2021-09-01;319,4;319,6;320,5;320,9;317,6;319,6;318,774;635071;202439623,4;2989
2021-08-31;320,1;320,3;323,4;325,2;319,4;319,7;321,672;1105377;355894897,5;4169
2021-08-30;323,4;323,6;324,2;324,2;321,7;323,4;322,863;617962;199514514,6;3437
2021-08-27;324,7;324,9;325,8;327;324,4;324,5;325,732;709577;231131644,1;3453
2021-08-26;325,4;325,6;322,7;325,7;322,3;325,6;324,613;628377;203980917,8;3311
2021-08-25;325,4;325,5;329;329,1;324;325;325,408;443438;144298768,5;2542
2021-08-24;329;329,2;330,4;330,8;328,3;329,3;329,439;923737;304122267,9;3858
2021-08-23;329,9;330,1;332,1;332,5;328,9;330,2;330,329;727310;237926743,4;2667
2021-08-20;330,6;330,8;329,6;331,8;327,1;330,9;329,419;802058;264194034,5;4071
2021-08-19;328;328,2;327,5;330;325,1;328,2;327,593;1313365;430232657,2;4771
2021-08-18;328,9;329,1;329;330,8;328,2;329,5;329,629;654157;215628067,4;3000
2021-08-17;329,2;329,3;326,9;329,8;325,2;328,9;328,088;529878;173847272,8;2603
2021-08-16;326,7;326,9;325,7;327,5;325,2;326,9;326,681;751943;245646461,1;3385
2021-08-13;325,6;325,8;325,6;327,2;325;326;326,153;527653;172094618,2;2288
2021-08-12;325,4;325,6;324,5;325,7;322,8;325,3;324,574;481674;156337195,4;2311
2021-08-11;324,7;324,8;323,3;325,4;322,5;324,7;324,376;651572;211355011,6;2366
2021-08-10;322,5;322,7;319,1;322,7;319,1;322,3;321,631;625352;201127297;2493
2021-08-09;319;319,2;319,1;320,2;318,2;319,1;319,462;430197;137430474,2;2131
2021-08-06;320,1;320,3;320,7;322,4;319,7;319,7;320,9;293322;94128711;1598
2021-08-05;320,4;320,6;318,4;321,1;318,2;321,1;320,185;380409;121801495,4;1832
2021-08-04;320,6;320,8;317,8;321,8;316,5;320,8;319,243;480833;153499889,2;2136
2021-08-03;317,5;317,7;312,9;318,4;311,6;317,4;315,652;485287;153185545,4;2389
2021-08-02;313,2;313,3;316,6;317,4;312,5;312,9;314,008;547427;171892841;2589
2021-07-30;314,4;314,6;314,3;314,8;311,5;313,9;313,428;822319;257738252,1;3144
2021-07-29;316;316,2;317;318,5;315,2;315,7;316,857;468315;148404627,7;2324
2021-07-28;316,3;316,5;317,6;317,9;315,3;316;316,402;439955;139201857,1;2120
2021-07-27;316,9;317;317,1;317,6;314,1;317,2;315,872;529930;167390697,1;2668
2021-07-26;317,8;318;318,3;320;317;317,5;318,404;669583;213197825,9;3679
2021-07-23;318,4;318,6;317,5;320,2;316,1;318,3;318,358;945580;301048969,4;3964
2021-07-22;313,2;313,4;314,8;318,4;310,9;313,5;314,321;1213666;381470994,6;4202
2021-07-21;309,7;309,9;305,4;310;304,4;309,7;307,301;670156;205942863,1;2608
2021-07-20;304,3;304,5;300,5;308,2;300,5;304,4;303,079;614936;186359635,3;2425
2021-07-19;299,2;299,3;304,7;304,7;297,2;298,9;300,249;845421;253525622,3;2942
2021-07-16;306;306,2;309;309,9;304,4;306,2;306,405;1136945;348372225,8;4111
2021-07-15;307,9;308,1;308,3;309,6;306,9;308,2;308,293;512404;157970146,6;2069
2021-07-14;308,3;308,4;307,4;308,5;306,5;308,3;307,513;597188;183644446,4;2467
2021-07-13;308,7;308,9;307,5;309,1;307,1;308,7;308,027;516033;158955795,1;2303
2021-07-12;307,3;307,4;308,4;309,9;305,9;307,3;307,773;891836;274491611,2;3194
2021-07-09;308,1;308,3;303,1;308,8;303,1;308,3;306,695;955791;293206202;3368
2021-07-08;301,6;301,7;301,6;302,8;298,6;301,4;300,676;723691;217582264,3;3031
2021-07-07;302,1;302,3;297;302,4;296,5;302,3;300,728;952699;286502014,3;3378
2021-07-06;294,5;294,7;295,3;298;293,8;295,1;295,909;744321;220241945,7;2904
2021-07-05;294,7;294,9;293,7;296,3;292,1;295,3;294,539;607198;178846113,8;2408
2021-07-02;293,6;293,7;294;298,1;293,5;294;295,852;1304889;386049795,6;4031
2021-07-01;290,1;290,3;291,7;292,3;288,4;290,7;290,7;726610;211227414,7;2707
2021-06-30;290,8;291;293,5;294,1;288,4;290,3;290,23;1123877;326178245,6;3715
2021-06-29;294,9;295,1;292,6;296,1;292,6;295,2;295,018;762257;224877812,4;2348
2021-06-28;292,7;292,8;290,6;292,8;289,6;292;291,277;804185;234239189,8;3082
2021-06-24;289,3;289,4;287,4;289,8;285,1;289,8;287,236;950104;272895662,2;3778
2021-06-23;286,9;287,1;288,5;289,6;285,7;286,7;287,241;853595;245171319,5;3627
2021-06-22;288,7;288,9;287,6;288,9;285,2;288,5;287,164;577393;165804178,6;2669
2021-06-21;286,6;286,8;281,7;287,3;280,3;286,6;285,114;1154374;329063062,8;3830
2021-06-18;283,4;283,6;286,7;289,6;283,4;283,7;286,022;1036634;296496527,9;3946
2021-06-17;285,6;285,7;286,8;287,4;285,4;285,5;286,271;795827;227823292;3106
2021-06-16;287,9;288;290,7;291,3;287,5;287,5;288,457;1017735;293581461,6;2894
2021-06-15;289,6;289,7;288,6;290,9;287,9;289,6;289,607;730721;211625768,1;2614
2021-06-14;287,2;287,3;287;288,3;286,1;286,9;286,897;620013;177880518,3;2164
2021-06-11;287,1;287,3;284,8;287,9;283,2;286,6;286,35;567117;162392675,2;2059
2021-06-10;285,7;285,8;286,9;287,4;284,9;285,3;285,915;964525;275779632,8;3353
2021-06-09;287,1;287,3;288,9;288,9;285,9;286,9;287,144;647088;185799741,6;2334
2021-06-08;288,4;288,6;289,8;291,1;288,4;288,9;289,653;467507;135414044;2329
2021-06-07;289,8;289,9;289,3;292,7;289,3;289,9;291,058;653783;190289611;2584
2021-06-04;289,5;289,6;288,3;290,1;288;289,2;289,392;1086156;314323553,2;3747
2021-06-03;289,3;289,5;287,8;289,5;285,7;289,1;287,501;1027147;295282860,8;3190
2021-06-02;288;288,2;286,5;288,4;284,4;288,4;286,983;740234;212432264,8;2749
2021-06-01;286,1;286,3;283,7;288;283,2;286,2;286,329;717242;205365959,7;2591
2021-05-31;283,3;283,5;283,9;284,6;282,9;282,9;283,243;1317876;373279237;2297
2021-05-28;284,3;284,5;284,2;285;282,8;283,6;283,729;1010595;286740316,4;3788
2021-05-27;282,3;282,5;278,8;283;278;282;281,32;1545012;434630804,4;5335
2021-05-26;279,3;279,5;278,8;280,2;277,4;279,2;278,746;1084501;302298967,5;4101
2021-05-25;278,7;278,8;279,6;280,2;278,1;278,8;279,078;726714;202806912,5;2641
2021-05-24;279,2;279,4;279,6;280;277,2;279,9;278,624;513835;143106426,2;2470
2021-05-21;279;279,2;277,3;280;275,9;279,6;278,008;954336;265307880,3;3672
2021-05-20;276,4;276,5;274,5;277;274,1;276,2;275,728;927124;255623925,3;3440
2021-05-19;272,8;273;278,7;278,7;271,2;273;274,256;1786197;489872110,4;6144
2021-05-18;281,5;281,7;283,2;284,8;280,8;281,6;283,164;894992;253432236,7;3431
2021-05-17;282,2;282,3;284,8;285,2;281,5;282;282,716;727347;205627359,1;2794
2021-05-14;283,8;283,9;280;284,2;279,2;284,2;282,065;1210736;341511703;4247
2021-05-12;275,2;275,4;275,8;277,7;275,2;275,5;276,294;485189;134054154;1912
2021-05-11;275,3;275,5;278;278,3;273,7;275,5;275,433;1439947;396577941,1;4254
