Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2021-09-29;99,12;99,13;100,6;101,08;98,6;99;99,201;7453559;739418836,3;15497
2021-09-28;100,22;100,26;101,4;104,16;100,16;100,16;102,042;8953910;913895998;15944
2021-09-27;101,76;101,8;101,4;103,54;101,24;101,84;102,295;8900098;910522181,6;16485
2021-09-24;100,9;100,94;98,74;101,26;98,2;100,86;100,245;7765942;778478366,4;15912
2021-09-23;98,85;98,87;97,5;99,05;97;98,74;98,492;5255554;517594318;9520
2021-09-22;96,58;96,62;96,6;97,5;96,37;96,55;96,728;4166271;402993950,6;8308
2021-09-21;95,81;95,83;95,8;96,85;95,58;96,01;96,078;5742617;551843493,8;13031
2021-09-20;96,3;96,33;97,4;97,61;95,62;96,35;96,42;5869353;566135169,2;12602
2021-09-17;98,4;98,43;100,66;100,82;98,3;98,45;98,924;7631335;755132233;11917
2021-09-16;100,36;100,38;99,91;100,68;99,82;100,34;100,296;4289052;430169009,4;7911
2021-09-15;99,92;99,95;101,06;101,48;99,68;99,98;100,111;5295675;530160680,9;8574
2021-09-14;101,02;101,08;102,14;102,28;100,68;101,06;101,221;5442515;550836479,7;10106
2021-09-13;102,16;102,22;102,36;103,34;101,96;102,3;102,526;5305324;543931202,1;11082
2021-09-10;102,3;102,32;102,34;103,18;102,26;102,28;102,488;4666276;478253056,4;7808
2021-09-09;102,7;102,78;101;103,58;100,72;102,68;102,546;5270515;540465723,9;9953
2021-09-08;101,8;101,84;102,74;102,8;101,74;101,96;102,104;5381743;549515918,2;9858
2021-09-07;103,4;103,44;102,66;103,44;102,18;103,38;102,975;3504101;360827905,9;5506
2021-09-06;102,8;102,84;103,56;103,92;102,72;102,82;103,103;3483308;359141835,2;7217
2021-09-03;103,16;103,2;103,94;104,38;102,92;102,92;103,463;4478650;463350353,3;9307
2021-09-02;104,06;104,1;103,2;104,48;102,82;103,94;103,855;4281337;444620892,6;9276
2021-09-01;102,86;102,9;102,46;103,52;102,42;103;103,038;5002377;515437195,8;15631
2021-08-31;102,36;102,4;103,2;103,56;102,04;102,3;102,631;6057163;621685299,5;9307
2021-08-30;103;103,06;102,68;103,56;102,68;102,86;102,973;2504976;257938522,5;5633
2021-08-27;103,28;103,3;103,96;104,44;102,74;103;103,246;5324862;549803251,2;11756
2021-08-26;104,5;104,54;102,18;104,78;101,9;104,4;103,975;7749856;805964555;12979
2021-08-25;102,86;102,9;101,96;104,76;101,68;102,76;103,429;8015570;829089943,3;18098
2021-08-24;101,46;101,52;101;101,74;100,04;101,7;101,292;7648725;774791911,4;11688
2021-08-23;100,12;100,16;100,22;100,3;99,19;100,3;99,973;5121586;516034550;9173
2021-08-20;99,72;99,73;99,13;99,97;98,85;99,82;99,53;4000658;398175470,2;9853
2021-08-19;98,71;98,74;99;99,19;97,78;98,9;98,507;5473677;539179798,7;13396
2021-08-18;99,4;99,41;99,6;100,24;99,38;99,39;99,701;3462316;345201990,2;7292
2021-08-17;99,79;99,81;98,88;100;98,34;99,89;99,432;5388101;535715865,1;9264
2021-08-16;99;99,02;100,5;100,94;98,88;99,05;99,521;5150922;512575824,7;10091
2021-08-13;100,36;100,42;100,76;101,04;100,06;100,4;100,462;4302383;432224151;9282
2021-08-12;100,64;100,68;100,66;100,74;100,02;100,66;100,413;4457428;447580201,8;7775
2021-08-11;100,68;100,72;100,9;101,5;100,52;100,8;100,974;4026414;406568053,3;9736
2021-08-10;100,88;100,94;101;101,76;100,7;100,92;101,142;3968070;401342896,7;8476
2021-08-09;100,86;100,9;100;100,94;99,31;100,8;100,299;4395675;440949003,4;9183
2021-08-06;100,04;100,08;99,42;100,28;99,13;100,16;99,773;5383617;537105945,7;10172
2021-08-05;99,4;99,42;99,84;100,2;99,39;99,42;99,63;4497942;448143384;8943
2021-08-04;100;100,04;100,28;100,48;99,48;99,8;99,841;5966274;595678852,2;11719
2021-08-03;100,04;100,08;100,54;100,6;99,36;99,92;99,82;6825635;681340906,8;13838
2021-08-02;100,54;100,6;99,74;101,04;99,22;100,62;100,158;7493233;750478504,5;13203
2021-07-30;99,08;99,12;98,52;99,11;98;98,87;98,798;7188219;710160164,6;12668
2021-07-29;98,99;99,03;99,98;100,42;98,71;98,98;99,205;8609640;854112889,5;15639
2021-07-28;99,48;99,52;98,87;100;98,58;99,48;99,291;8190906;813238315,4;19532
2021-07-27;98,41;98,45;100,62;101,04;98,27;98,35;99,062;8862743;877975018,4;19063
2021-07-26;100,62;100,68;101,64;101,66;100,54;100,62;100,94;6158548;621647676,3;12742
2021-07-23;101,82;101,86;101,8;102,72;101,42;101,96;102,079;5180345;528794702,6;11964
2021-07-22;101,44;101,48;102,72;102,82;100,6;101,48;101,391;8423237;854020688,5;17342
2021-07-21;102,92;102,96;100,96;103,5;100,78;102,72;102,483;8551810;876405570,1;17148
2021-07-20;101,1;101,12;101,84;103,72;100,96;100,96;101,728;8257197;840004244,1;16462
2021-07-19;101,84;101,9;103,44;104,38;101,62;101,84;102,558;11168968;1145633836;22921
2021-07-16;104,16;104,18;111;112;102,78;103,84;105,024;30644272;3218928051;60471
2021-07-15;114,42;114,48;114,6;115,12;113,84;114,66;114,537;5050016;578415648,1;10314
2021-07-14;115,26;115,3;115,64;115,66;114,46;115,24;115,086;5062501;582609986,4;9710
2021-07-13;115,78;115,8;113,88;116,16;113,02;115,64;115,26;8450637;973920928,3;14838
2021-07-12;112,38;112,4;112,14;112,76;111,78;112,4;112,34;3476842;390582964;7276
2021-07-09;111,92;111,96;111,12;112,48;111,12;112,14;112,028;4428525;496120318,2;11011
2021-07-08;111,58;111,6;112,78;112,78;110,7;111,5;111,474;4513493;503142578,6;9568
2021-07-07;112,66;112,72;111,66;113,4;111,66;112,78;112,709;5718713;644547746,1;11190
2021-07-06;111,3;111,36;110,16;112,18;109,98;111,46;111,476;5393307;601168626,1;11371
2021-07-05;110,04;110,1;109,8;110,32;108,84;110,32;109,844;3324080;365118260;4878
2021-07-02;109,74;109,8;109,9;110,84;109,3;109,96;110,002;5331656;586397536,9;6440
2021-07-01;108,94;109;109,46;109,46;107,7;109,02;108,828;5455638;593716038,3;9785
2021-06-30;107,74;107,8;108,2;109,08;107,56;107,56;107,872;5982704;645389554,1;12206
2021-06-29;108,82;108,84;108,08;109,76;107,98;108,82;108,833;5501696;598756892,4;9570
2021-06-28;108,24;108,26;108,4;108,92;107,4;108,08;108,128;6327646;684193032,2;10431
2021-06-24;106,3;106,34;105,2;107,06;104,9;106,5;106,21;7137858;758097821,8;12365
2021-06-23;106,24;106,26;109,14;109,28;106;106;106,666;8752086;933557497,6;18195
2021-06-22;109,66;109,72;108,5;109,78;108;109,5;109,078;5443435;593747036,4;10034
2021-06-21;108,54;108,6;107,86;110,24;107,56;108,42;108,899;5765739;627992765,6;11025
2021-06-18;108,08;108,12;109,26;110,56;107,98;108,12;108,649;8637402;938457748,5;14265
2021-06-17;109,66;109,68;109,3;110,2;108,68;109,66;109,377;5785887;632771423,8;8447
2021-06-16;109,8;109,84;108,48;110,08;108,16;109,66;109,427;5629093;615996119,3;12022
2021-06-15;108,7;108,76;109,76;110,3;108,5;108,8;109,153;5549992;605900228,5;8344
2021-06-14;109,34;109,38;109,84;110,36;108,98;109,42;109,502;4629760;506975568,5;9634
2021-06-11;109,86;109,9;109;110,28;108,4;109,84;109,73;5750309;630876518,7;10284
2021-06-10;108,58;108,64;108,42;108,78;107,8;108,66;108,359;5279852;572107209,2;8789
2021-06-09;108,4;108,42;108,5;109;108,04;108,42;108,454;4456739;483354155,2;6887
2021-06-08;108,76;108,82;108,28;109,6;107,82;108,98;108,841;5568887;606091172;8475
2021-06-07;108,44;108,48;108,84;109,72;108,3;108,3;108,703;5310708;577338433,5;10836
2021-06-04;109,14;109,16;109,1;109,4;108,18;108,8;108,782;7809867;849572783,1;9837
2021-06-03;109;109,04;109,24;110,38;107,64;108,86;108,752;10871844;1182296437;15882
2021-06-02;108,82;108,84;108,9;109,58;107,96;108,66;108,809;10150959;1104529417;14896
2021-06-01;108,96;109,02;110,66;110,88;108,52;108,94;109,41;9941525;1087869033;16456
2021-05-31;110,24;110,28;111,44;111,54;109,96;109,96;110,164;5705118;628510054,5;5042
2021-05-28;111,54;111,58;110,36;112,2;110,06;111,34;111,416;7792519;868368248,1;13567
2021-05-27;110,3;110,34;110,02;110,52;109,34;110,34;110,262;14310369;1577719969;11616
2021-05-26;110,2;110,24;111;111,84;109,98;110;110,445;7374801;815107727,6;11689
2021-05-25;111,08;111,1;111,04;112,62;110,36;110,68;111,259;8593989;956302089,4;14614
2021-05-24;112,04;112,06;112,2;112,98;111,3;111,92;112,019;6465898;724154717;10401
2021-05-21;113,28;113,32;113,96;114,12;112,64;113,2;113,307;5031004;570059898,9;8642
2021-05-20;113,78;113,8;111,9;113,9;111,36;113,68;112,862;6565691;740983524,9;13575
2021-05-19;111,84;111,86;111;112,06;110,36;111,8;111,213;8056555;895928162,9;14079
2021-05-18;111,68;111,74;110,32;112,02;110,32;111,78;111,348;7256883;807936689,8;13793
2021-05-17;110,24;110,26;110,9;111,26;109,8;110,26;110,28;3687374;406648448,1;8065
2021-05-14;110,24;110,26;110,2;110,7;109,12;110,26;109,977;7968708;876367592,6;16193
2021-05-12;111,34;111,4;110,5;111,78;110;111,28;111,09;3509874;389906965,6;7580
2021-05-11;110,38;110,4;114,2;114,2;109,76;110,5;110,988;8767662;973257510,7;15980
2021-05-10;114,66;114,72;115,54;116,24;114,26;114,72;115,211;7337651;845487962,7;13400
2021-05-07;116,22;116,28;116,9;118,46;114,14;116,38;115,72;10388885;1202029186;15616
2021-05-06;115,36;115,4;115,84;116,42;114,88;115,4;115,425;5386509;621747297,7;11675
2021-05-05;116,16;116,18;114,78;116,26;114,56;116,26;115,83;4723197;547068099,1;9101
2021-05-04;113,46;113,52;116,88;117,08;113,44;113,74;114,663;7090388;813016386,3;16127
2021-05-03;116,56;116,6;117,86;117,88;115,82;116,66;116,812;4245622;495953969,5;7886
2021-04-30;116,34;116,4;116,7;117,5;115,94;115,94;116,329;3334660;387951983,4;4460
2021-04-29;116,36;116,4;118,56;119,28;116,26;116,5;117,451;6648359;780886516,5;12705
2021-04-28;118,02;118,08;121;121;117,14;118;118,195;5413878;639873628,4;8702
2021-04-27;117,76;117,78;118,46;118,84;117,22;117,88;117,82;5630096;663337957,3;10457
2021-04-26;118,9;118,94;119,16;119,42;118,2;118,6;118,694;3905252;463527146,6;8535
2021-04-23;119,02;119,08;119,44;119,82;118,52;119;119,089;5679011;676293442;11788
