Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2021-09-29;184,68;184,72;184;185,2;182,06;184,7;183,895;3925162;721793012,2;16047
2021-09-28;182,28;182,36;182,6;187,46;182,22;182,28;183,925;6237677;1147934017;17434
2021-09-27;182,12;182,18;179,5;183,14;179,4;181,98;181,797;3158573;574194720,5;13919
2021-09-24;177,84;177,86;178,52;178,84;177,5;177,6;177,834;1903083;338432545,5;7582
2021-09-23;179,52;179,6;180,74;181,7;178,78;179,32;180,046;3503237;630778957,6;12372
2021-09-22;179,72;179,78;175,76;179,88;175,06;179,7;178,559;3302724;589709157,1;10743
2021-09-21;174,4;174,46;174,42;176,5;173,92;174,06;174,752;3096696;541289181,2;10570
2021-09-20;174,44;174,48;171,52;174,74;169,56;174,36;172,695;5172783;894557815,6;11977
2021-09-17;173,82;173,88;174;175,66;173,46;173,68;174,168;6418943;1115459769;13813
2021-09-16;172,44;172,48;169,56;172,84;168,36;172,48;171,475;4480382;768292546,8;16191
2021-09-15;169,78;169,84;170,28;172;168;169,56;169,559;8895886;1508398886;28865
2021-09-14;175,42;175,48;174,3;176,26;172,7;174,92;174,968;3955378;692052695,7;15636
2021-09-13;173,44;173,52;172,18;174,04;170,22;173,48;172,608;3113383;537359174,8;12429
2021-09-10;172,16;172,18;173,34;174,28;172,12;172,18;172,779;2291534;395932614,8;7800
2021-09-09;172,98;173;172,7;173,72;171,92;173,1;172,87;2628814;454432722,4;9939
2021-09-08;174,08;174,14;175;175,88;173,66;174,02;174,588;2376463;414905237;8963
2021-09-07;175,62;175,66;176,9;176,9;175,16;175,32;175,801;1806172;317537225,6;8404
2021-09-06;176,54;176,58;176,66;177,86;176,2;176,76;176,902;1875282;331691508,2;7377
2021-09-03;176,28;176,34;178,56;179,34;175,66;175,66;177,033;3479485;615995951,6;10715
2021-09-02;178,46;178,52;179,56;180,6;176,9;178,6;178,441;3317943;591998917,3;10893
2021-09-01;180,3;180,34;174,98;180,62;174,6;180,32;179,386;5410947;970646789,6;17938
2021-08-31;173;173,04;172,9;173,42;171,24;172,96;172,682;3642313;628952260,5;11631
2021-08-30;173,1;173,16;173,48;173,86;172,62;173;173,071;1421325;245985297,5;6271
2021-08-27;173,32;173,34;172,96;174,1;172,04;173,14;173,182;2176864;376987360,1;10708
2021-08-26;172,32;172,38;175,24;175,24;172,16;172,16;172,815;2716007;469372337,5;11070
2021-08-25;176,14;176,22;175,5;177,04;174;175,94;175,89;2207306;388252427;10134
2021-08-24;177,74;177,8;178,34;179,4;176,98;177,18;177,967;2806012;500074781,4;10188
2021-08-23;177,66;177,7;176,36;178,22;175,7;177,68;177,357;2688053;477893770;10258
2021-08-20;174,94;174,96;171,3;175,54;171,26;174,9;174,195;3138510;546797664,9;12060
2021-08-19;171,32;171,38;172,62;173,32;170,54;171,3;171,661;2979390;511424900,1;14164
2021-08-18;174,84;174,86;175,18;175,36;173,7;174,88;174,507;2252863;393133533,1;9523
2021-08-17;175,06;175,1;174,4;176,7;174,4;175,12;175,563;3209880;563552035,4;11736
2021-08-16;174,6;174,64;179,96;179,96;174,26;174,34;175,784;3695186;649564636,7;13204
2021-08-13;180,24;180,3;180;181,8;179,72;180,16;180,532;1526501;275587354;5948
2021-08-12;180,06;180,14;178,9;180,12;178,6;180,12;179,737;1247882;224288914,5;5074
2021-08-11;179,42;179,48;179,08;179,96;178,5;178,98;179,158;1487600;266518852,3;7549
2021-08-10;179,2;179,26;179,7;180,82;177,8;179,24;178,947;1872847;335173424,8;7618
2021-08-09;179,68;179,74;180;180,44;178,66;179,7;179,506;1448240;259971280,9;6541
2021-08-06;180,28;180,34;180,14;180,62;178,66;180,4;179,902;2073122;372955624,4;7861
2021-08-05;180,36;180,42;180,2;180,92;178,54;180,14;180,1;2606459;469416150,1;9965
2021-08-04;180,78;180,88;181,62;182,48;180,5;180,7;181,247;2344734;425010486,1;9017
2021-08-03;180,9;180,96;181,64;181,72;180,18;181;180,898;2027279;366741756,8;9191
2021-08-02;181,7;181,74;181,44;183,78;181,26;181,26;181,88;2359099;429143338,2;7853
2021-07-30;180,48;180,5;184,06;185;179,92;180,12;180,788;5319830;961834615,8;16695
2021-07-29;185,38;185,46;186,5;187,54;185,16;185,34;185,819;1903913;353810975,1;6181
2021-07-28;186,6;186,64;185,6;187,7;185,3;186,22;186,583;1769968;330273957,9;7573
2021-07-27;185,8;185,84;187,34;187,42;184,84;185,44;185,886;2724718;506517928,5;11961
