Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2021-09-29;36,22;36,235;35,95;36,315;35,82;36,24;36,117;8720856;314947904,3;8234
2021-09-28;35,94;35,945;36,31;36,41;35,91;35,91;36,09;11040252;398409560,1;8935
2021-09-27;36,34;36,355;36,6;36,865;36,33;36,36;36,509;6492652;237024233,8;6485
2021-09-24;36,505;36,52;36,55;36,65;36,46;36,46;36,52;6295927;229937192,6;5012
2021-09-23;36,605;36,615;36,42;36,62;36,32;36,585;36,517;8314259;303613847,5;8316
2021-09-22;36,375;36,385;36,455;36,55;36,26;36,38;36,374;6726446;244665867;6458
2021-09-21;36,29;36,305;36,355;36,545;36,24;36,3;36,355;6581357;239459739;6162
2021-09-20;36,5;36,51;36,5;36,57;36,21;36,415;36,377;12248795;451375747,3;12198
2021-09-17;36,615;36,625;36,725;36,93;36,54;36,575;36,651;11328221;415198216;9517
2021-09-16;36,685;36,695;36,84;36,94;36,68;36,68;36,731;6638530;243840507,1;5108
2021-09-15;36,83;36,84;37,035;37,26;36,74;36,81;36,913;8849631;326689157,3;7901
2021-09-14;37,045;37,055;36,835;37,2;36,805;37,045;37,051;8268290;306362333,3;8231
2021-09-13;36,765;36,775;36,715;37,025;36,715;36,765;36,818;8240222;303393177,8;7532
2021-09-10;36,915;36,925;37,265;37,29;36,81;36,9;36,972;7602077;281060250,8;7551
2021-09-09;37,46;37,47;37,13;37,525;37,025;37,335;37,334;11622760;433987117,3;7781
2021-09-08;37,275;37,29;37,205;37,465;36,995;37,28;37,262;7494778;279258407;6326
2021-09-07;37,235;37,25;37,26;37,45;37,14;37,26;37,264;6665911;248399489,9;5302
2021-09-06;37,26;37,265;36,82;37,385;36,765;37,255;37,149;7906312;293714969,7;8085
2021-09-03;36,84;36,845;37,05;37,285;36,715;36,72;36,879;7969185;293911843,7;9198
2021-09-02;37,105;37,115;37,095;37,26;37,01;37,05;37,093;5497123;203913853,8;6071
2021-09-01;37,08;37,09;37,14;37,415;37,01;37,07;37,152;6708895;249285445,7;6731
2021-08-31;37,15;37,16;37,5;37,58;36,955;37,04;37,094;14457274;536288191;9743
2021-08-30;37,535;37,54;37,59;37,6;37,45;37,485;37,504;5216404;195637937;6566
2021-08-27;37,595;37,605;37,545;37,695;37,465;37,57;37,587;5162796;194055919,6;6160
2021-08-26;37,575;37,585;37,65;37,75;37,505;37,545;37,561;5644175;212003663,1;6035
2021-08-25;37,8;37,81;38,12;38,15;37,745;37,77;37,828;5674379;214648502,7;6416
2021-08-24;38,105;38,115;38,38;38,38;37,875;38,07;38,061;5357989;203926560,3;4769
2021-08-23;38,31;38,325;38,6;38,64;38,1;38,355;38,3;5470290;209410150,9;5880
2021-08-20;38,49;38,5;38,04;38,545;37,98;38,475;38,361;5418426;207848918,4;6072
2021-08-19;38,075;38,085;38,26;38,415;37,94;38,07;38,097;7940876;302522402,1;8835
2021-08-18;38,495;38,505;38,635;38,85;38,47;38,515;38,602;5159372;199168030,4;6253
2021-08-17;38,64;38,645;38,15;38,685;38,125;38,63;38,513;6698306;257963928,5;6073
2021-08-16;38,23;38,245;38,14;38,43;38,035;38,205;38,278;5250646;200987293,4;5615
2021-08-13;38,235;38,25;38,12;38,35;37,98;38,23;38,198;4118659;157331326,9;5230
2021-08-12;38,135;38,145;38,05;38,265;38,04;38,12;38,142;5124331;195453316,5;5009
2021-08-11;38,045;38,06;37,92;38,22;37,9;38,02;38,051;5550435;211201809,6;5485
2021-08-10;37,845;37,855;37,835;38,04;37,69;37,92;37,916;4315403;163621061;4446
2021-08-09;37,82;37,835;37,48;37,835;37,305;37,835;37,665;5247382;197640892,6;5313
2021-08-06;37,445;37,46;37,66;37,66;37,345;37,485;37,483;5466818;204911373;4985
2021-08-05;37,64;37,65;37,7;37,82;37,6;37,67;37,684;4610624;173746178,3;5088
2021-08-04;37,76;37,765;37,925;38,065;37,715;37,715;37,812;6859006;259353665,6;5779
2021-08-03;37,845;37,86;37,825;38,095;37,66;37,9;37,854;7493097;283637191,8;7537
