Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2021-09-29;195,32;195,44;197,1;198,14;194,94;195,16;195,751;3940689;771352089,3;14649
2021-09-28;196,5;196,56;198,34;200,1;196,32;196,4;198,375;5858533;1162219119;19785
2021-09-27;198,64;198,68;194,52;198,82;194,42;198,34;197,696;4995863;987646629,5;19258
2021-09-24;193,28;193,3;193,36;194,76;192,02;193,28;193,337;3934249;760642536,4;16166
2021-09-23;195,08;195,12;193;195,98;192,46;194,92;194,626;5159042;1003968935;19066
2021-09-22;190,48;190,54;183,12;191,02;182;190,42;188,012;5442735;1022919636;16569
2021-09-21;183,06;183,12;185,7;187,06;183,04;183,12;184,438;3342943;616707399,3;15030
2021-09-20;185,52;185,54;189,38;189,38;184,86;185,6;186,389;4721391;881555768,6;20073
2021-09-17;191,22;191,26;192,8;194,68;190,84;191,18;191,87;6116893;1173678004;15107
2021-09-16;192,08;192,1;190,92;193,7;190,24;191,86;192,285;3568235;686136035,3;13805
2021-09-15;190,5;190,54;191,4;191,94;189,74;190,36;190,644;3296862;628534929,2;12186
2021-09-14;191,24;191,3;190,18;192,4;189,82;191,4;191,141;4130149;789281346,7;11416
2021-09-13;189,7;189,74;190,1;191,4;189,18;189,96;190,047;2944112;559549522,8;11803
2021-09-10;189,84;189,9;189,7;191,48;188,58;190,32;190,383;2796993;532509816,1;11866
2021-09-09;188,82;188,86;189,1;190,68;187,08;189;188,56;4644727;875888843,9;18558
2021-09-08;190,86;190,92;194;194;190,34;190,5;191,361;4100602;784719577,5;14876
2021-09-07;195,3;195,32;193,3;196,26;192,58;194,62;194,672;3553599;691808247;13077
2021-09-06;193,32;193,38;193;194,08;192,66;193,3;193,434;2115899;409269179,8;9178
2021-09-03;192,52;192,56;193;196,4;192,28;192,28;193,815;4944973;958533267,1;16573
2021-09-02;192,24;192,28;194,52;194,9;192;192,34;192,879;4472460;862519276,8;16601
2021-09-01;195,1;195,12;195,5;198,26;194,46;195,02;195,912;3139229;614966971,1;12177
2021-08-31;195,24;195,26;198,08;198,38;194,44;195,14;195,65;3742039;732174905,8;12271
2021-08-30;197,4;197,46;198,3;199,62;195,96;197,46;197,676;2174696;429924617,1;10011
2021-08-27;198,04;198,06;197;198,38;196,4;198,1;197,517;2421708;478326445;11776
2021-08-26;196,8;196,84;195,18;197,22;194,7;196,9;196,387;2450135;481170536,8;11282
2021-08-25;196,68;196,72;196;196,78;194,24;196,6;195,682;1845726;361136505,2;10646
