sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-07-02;42,50;42,53;42,25;42,74;42,12;42,64;42,538;10719375;455975365,3;6959;
2019-07-01;42,19;42,20;41,65;42,32;41,59;42,21;42,086;13346907;561691322,16;8339;
2019-06-28;41,32;41,33;41,23;41,51;41,07;41,24;41,284;10681011;440954465,5;5473;
2019-06-27;41,07;41,10;41,38;41,40;41,05;41,16;41,163;7209163;296754887,38;4230;
2019-06-26;41,30;41,32;41,51;41,52;41,26;41,43;41,39;6047530;250308858,34;3747;
2019-06-25;41,53;41,55;41,32;41,60;41,12;41,47;41,457;6546448;271383110,62;3877;
2019-06-24;41,24;41,26;41,44;41,76;41,24;41,32;41,419;10807744;447606234,02;6176;
2019-06-20;41,63;41,65;41,92;42,04;41,59;41,68;41,705;14829120;618445462,13;5740;
2019-06-19;41,64;41,67;42,07;42,07;41,58;41,58;41,692;10459539;436092724,4;4745;
2019-06-18;42,03;42,04;41,32;42,10;41,18;42,01;41,812;12695128;530855575,1;5270;
2019-06-17;41,24;41,26;41,35;41,53;41,21;41,21;41,319;5829753;240874365,03;3694;
2019-06-14;41,25;41,27;41,20;41,41;40,96;41,26;41,212;7077323;291674397,86;4272;
2019-06-13;41,08;41,10;40,93;41,40;40,89;41,17;41,215;9312058;383779344,07;5047;
2019-06-12;41,01;41,03;40,68;41,07;40,67;40,95;40,919;7261386;297122279,78;4176;
2019-06-11;40,86;40,87;40,80;41,03;40,73;40,91;40,902;8125398;332344331,44;4303;
2019-06-10;40,79;40,81;40,65;40,90;40,60;40,80;40,781;5871727;239449289,3;3634;
2019-06-07;40,59;40,61;40,17;40,67;40,11;40,65;40,48;10899207;441164333,09;5901;
2019-06-05;40,16;40,17;39,87;40,27;39,82;40,23;40,128;7478102;300080777,3;4738;
2019-06-04;39,90;39,92;39,86;40,10;39,67;40,00;39,937;10068990;402151500,28;5721;
2019-06-03;39,85;39,87;39,63;39,90;39,41;39,90;39,773;10921484;434370853,6;6221;
2019-05-31;39,67;39,69;39,95;39,95;39,61;39,74;39,747;14867043;590921540,38;8902;
2019-05-29;40,01;40,02;40,13;40,39;39,92;39,92;40,048;4403960;176373837,15;3006;
2019-05-28;40,42;40,43;40,61;40,64;40,07;40,49;40,412;16114728;651205515,37;5423;
2019-05-27;40,58;40,59;40,43;40,75;40,40;40,61;40,633;4716062;191631669,45;3395;
2019-05-24;40,33;40,35;40,07;40,56;40,04;40,37;40,378;8476490;342269428,06;5439;
2019-05-23;40,08;40,09;40,44;40,57;40,07;40,15;40,211;10330892;415421599,91;5861;
